------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         0.0001591423
                 0.1,         0.0001608789
                 0.2,         0.0001624678
                 0.3,         0.0001641745
                 0.4,         0.0001658832
                 0.5,         0.0001672656
                 0.6,          0.000168891
                 0.7,         0.0001704944
                 0.8,         0.0002395588
                 0.9,         0.0002395588
                   1,         0.0002350264
                 1.1,          0.000221558
                 1.2,         0.0002044101
                 1.3,         0.0001931419
                 1.4,         0.0001806316
                 1.5,         0.0001816324

