------------------------------------------------------------
 Current-Voltage
------------------------------------------------------------
Voltage, Current
                   0,         0.0001477108
                 0.1,         0.0001491946
                 0.2,         0.0001507437
                 0.3,         0.0001523866
                 0.4,         0.0001536675
                 0.5,         0.0001553303
                 0.6,         0.0001569195
                 0.7,         0.0001582471
                 0.8,         0.0002274115
                 0.9,         0.0002227247
                   1,         0.0002180533
                 1.1,         0.0002088435
                 1.2,         0.0001916368
                 1.3,         0.0001669512
                 1.4,         0.0001680032
                 1.5,         0.0001691484

